date,content,female,male
2024/2/7,"National Assembly approves report of Draft Committee on Amendment of National Assembly Regulations-2075 BS KATHMANDU, Feb 7: National Assembly (NA) has unanimously approved the report of the Draft Committee on the Amendment of National Assembly Regulations-2075 BS. KATHMANDU, Feb 7: National Assembly (NA) has unanimously approved the report of the Draft Committee on the Amendment of National Assembly Regulations-2075 BS. Chairman of the Draft Committee Suresh Kumar Ale Magar presented the proposal seeking consideration of the Amendment Report on National Assembly Regulations-2075 BS in the beginning of the meeting. In the theoretical discussions held on the proposal, President Ale Magar responded to all the queries raised by the lawmakers. National Assembly Chairman Ganesh Prasad Timilsina apprised the Committee members that those seeking amendments on the report could register their amendment within 72 hours. Similarly, the meeting unanimously endorsed Fiscal Procedures and Financial Accountability (First Amendment) Ordinance-2080 BS. Likewise, Legislative Management Committee President Jayanti Devi Rai presented a report of the Committee on Sahid Dasaratha Chand Health Science University-Bill-2080 BS. Meanwhile, the NA meeting passed the condolence motion on the demise of former minister and constituent assembly member Keshav Kumar Budhathoki. The condolence motion was presented by the NA Chairperson which the meeting endorsed unanimously. Parliamentarians observed a minute of silence and prayed for the eternal peace of departed Budhathoki. Budhathoki passed away on February 5 while undergoing treatment. He was 80. The National Assembly is convening again on February 11 at 1:01PM. (RSS)",1,0
2024/3/1,"Upper House lawmakers call for prioritizing job creation in budget KATHMANDU, March 1: National Assembly lawmakers, speaking in a discussion on the principles and priorities of the Appropriation Bill for the upcoming fiscal year, called for giving emphasis on employment generation and mobilization of youth by upholding good governance. KATHMANDU, March 1: National Assembly lawmakers, speaking in a discussion on the principles and priorities of the Appropriation Bill for the upcoming fiscal year, called for giving emphasis on employment generation and mobilization of youth by upholding good governance. Finance Minister Dr Prakash Sharan Mahat had presented the Principles and Priorities of Appropriation Bill for the next fiscal year in the meeting of the National Assembly, the upper house of the Federal Parliament, on February 26. Taking part in the debate in the NA meeting on Thursday, lawmakers underscored on making the budget functional. Similarly, they emphasized on giving high priority to the agriculture sector, ensuring security to the health workers, making clear the responsibilities on service delivery of the three tiers of government, bringing a plan for consumption of electricity produced in Nepal within the country itself and also on increasing capital expenditure and revenue collection. Prakash Pantha, Dil Kumari Rawal (Parbati), Dr Khimlal Devkota among other lawmakers participated in the discussions. Dr Devkota on the occasion drew the attention of the government, saying those ministers who were supposed to participate in the meeting were not present in the meeting. President of the Legislation Management Committee, Jayanti Devi Rai, presented the Bill on Anti-Money Laundering and the Promotion of Business Environment, 2079 BS during Thursday’s meeting. She also presented the report of the onsite study programme on law-making process and practices of the local levels. Similarly, the upper house lawmakers also drew the attention of the government towards the difficulties faced by the people for lack of drinking water and irrigation facilities in the Terai-Madhesh region. They expressed their concern on this issue while speaking in the 'zero hour' of the National Assembly meeting on Thursday. Lawmaker Tulasa Kumari Dahal called on the government to make arrangements for providing pure drinking water to the people in the Madhes. She also stressed on conservation of the Chure ecosystem by stopping its over-exploitation and on making arrangements for irrigation in the Madhes which is the 'breadbasket' of the country. Lawmaker Jaga Prasad Sharma called for putting an end to the trend of meager expenditure of the budget allocated for big projects, drawing the government's attention to finding a solution to this problem. Taraman Swanr called on the government to expedite the construction of the Seti and Mahakali highways, considered as the backbone for the economy and development of the Sudurpaschim Province and to ensure a budget for these road projects in the next fiscal year. Bimala Ghimire drew the attention of the government for immediately addressing the demands of farmers and the victims of loan sharks. Lawmaker Sumitra BC called for immediately taking ahead the process for reconstruction of houses of the earthquake-affected people of Jajarkot who are still living under tents even after nearly four months since the disaster. RSS",1,0
2024/3/22,"HoR session suspended for 10 days as Speaker-led team departs for Switzerland KATHMANDU, March 22: In the midst of parliamentary inactivity with bills pending discussion and budgetary matters unaddressed, a 10-member delegation led by Speaker Devraj Ghimire has departed for Geneva, Switzerland. This team is attending the 148th General Assembly of the Inter-Parliamentary Union (IPU) from March 23 to March 27. KATHMANDU, March 22: In the midst of parliamentary inactivity with bills pending discussion and budgetary matters unaddressed, a 10-member delegation led by Speaker Devraj Ghimire has departed for Geneva, Switzerland. This team is attending the 148th General Assembly of the Inter-Parliamentary Union (IPU) from March 23 to March 27. Following the departure of Speaker Ghimire's delegation, sessions of the House of Representatives have been adjourned for 10 days. Assistant Spokesperson for the Federal Parliament Secretariat, Dashrath Dhamala, confirmed that the team embarked on their journey via a Qatar Airlines flight. The delegation includes Padma Prasad Pandey, the General Secretary of the Federal Parliament Secretariat; Ekram Giri, Joint Secretary and Spokesperson; Under Secretary Pradeep Guragain; and Tejprakash Bhattarai, the Chief Personal Secretary to the Speaker. Representatives from various political parties are also part of the delegation: Ramesh Lekhak, Chief Whip of the Nepali Congress Parliamentary Party; Mahesh Kumar Bartaula, Chief Whip of UML; Hitraj Pandey, Chief Whip of the Maoist Center; and Santosh Pariyar, Chief Whip of the Rastriya Swatantra Party. Additionally, Ganga Kumari Belbase, a member of the National Assembly, is included in the team. During the assembly, Speaker Ghimire is expected to deliver a statement on parliamentary diplomacy, focusing on fostering peace and understanding. The Secretary General of the Federal Parliament will also participate in various meetings of the organization, according to Assistant Spokesperson Dhamala.",1,0
2024/3/28,"National Assembly Vice Chairperson Aryal resigns KATHMANDU, March 28: National Assembly Vice Chairperson Urmila Aryal has resigned. She submitted her resignation letter to National Assembly Chairman Narayan Dahal on Thursday. KATHMANDU, March 28: National Assembly Vice Chairperson Urmila Aryal has resigned. She submitted her resignation letter to National Assembly Chairman Narayan Dahal on Thursday. It was agreed that the CPN (Maoist Center) would take over the chairmanship of the National Assembly in the power coalition. According to that agreement, Narayan Dahal has become the chairperson of the National Assembly. Aryal has resigned as the post of National Assembly vice-chairperson has been given to another party in the ruling coalition. Earlier, in the written agreement between the ruling coalition CPN-UML, Maoist Center, and Rastriya Swatantra Party (RSP), it was mentioned that the UML would take the post of National Assembly Vice-Chairperson. But later, after the CPN (Unified Socialists) also joined the new coalition, nothing was mentioned about the post of National Assembly Vice Chairperson in the new written agreement. It is speculated that the CPN (Unified Socialist) would nominate the candidate for the post of vice-chairperson of the National Assembly.",1,0
2024/3/29,"Speaker-led delegation returns home KATHMANDU, March 29: A 10-member delegation led by Speaker of the House of Representatives (HoR), Devraj Ghimire, has returned home from Switzerland after participating in the 148th General Assembly of the Inter-Parliamentary Union (IPU). KATHMANDU, March 29: A 10-member delegation led by Speaker of the House of Representatives (HoR), Devraj Ghimire, has returned home from Switzerland after participating in the 148th General Assembly of the Inter-Parliamentary Union (IPU). The delegation had left for Switzerland on March 21 to participate in the General Assembly held at the IPU head office from March 23 to 27. In the General Assembly, Speaker Ghimire delivered a speech on behalf of the Federal Parliament on the topic of 'Parliamentary Diplomacy: Building Bridges for Peace and Understanding'. Along with Speaker Ghimire, the chief whips of the parliamentary parties of the Nepali Congress Ramesh Lekhak, CPN (UML)'s Mahesh Kumar Bartaula, CPN (Maoist Center)’s Hitraj Pandey and Rastriya Swatantra Party's Santosh Pariyar participated in the event. Similarly, National Assembly Member Ganga Kumari Belbase, Federal Parliament Secretariat Spokesperson Ekram Giri, Deputy Secretary Pradeep Guragain, and Speaker's Chief Private Secretary Tejprakash Bhattarai attended the event. RSS",1,0
2024/4/10,"UML's Ghimire elected as National Assembly Vice Chair KATHMANDU, April 10: Bimala Ghimire, the candidate representing CPN-UML, has been elected as Vice Chairperson of the National Assembly. KATHMANDU, April 10: Bimala Ghimire, the candidate representing CPN-UML, has been elected as Vice Chairperson of the National Assembly. Ghimire secured victory with a significant majority during the voting session held in today's meeting of the upper house of the federal parliament. Out of 55 lawmakers present during the voting, Ghimire secured victory by garnering 39 votes. The National Assembly has a total of 59 members.",1,0
2024/4/10,"Unified Socialist supports UML candidate for National Assembly Vice Chairman KATHHMANDU, April 10: CPN (Unified Socialist) Party has announced its support to CPN-UML's candidate Bimala Ghimire for the post of Vice-Chairman of the National Assembly. KATHHMANDU, April 10: CPN (Unified Socialist) Party has announced its support to CPN-UML's candidate Bimala Ghimire for the post of Vice-Chairman of the National Assembly. Nepali Congress's Bishnu Devi Pudasaini is also contesting for the position of National Assembly Vice Chairman. Earlier, the CPN (Unified Socialist) also claimed the position of vice-chairman. But after the nomination of the UML, the CPN (Unified Socialist) decided not to field a separate candidate. According to Jagannath Khatiwada, Deputy General Secretary and Spokesperson of CPN (Unified Socialist) Party, they have decided to vote for UML's candidate Ghimire. The election for the post of vice chairman is scheduled for today.",1,0
2024/4/10,"Election for Vice Chair of National Assembly being held today KATHMANDU, April 10: The election for the post of National Assembly Vice Chairman is being held today. The agenda for today's meeting of the National Assembly includes the election. The meeting is scheduled to commence at 1:15 PM. KATHMANDU, April 10: The election for the post of National Assembly Vice Chairman is being held today. The agenda for today's meeting of the National Assembly includes the election. The meeting is scheduled to commence at 1:15 PM. Bimala Ghimire from CPN-UML and Bishnu Devi Pudasaini from the opposition party Nepali Congress are the candidates for the post of National Assembly Vice Chairman. During today's National Assembly session, member Durga Gurung will propose the election of Nepali Congress' Pudasaini, while Bhagwati Neupane will propose the election of UML's Ghimire. Speaker Narayan Dahal will propose in today's meeting that the proposers of both candidates take turns presenting their proposals. According to the Federal Parliament Secretariat, the proposal that garners majority support will be elected. Furthermore, in today's meeting, the Secretary of the National Assembly, Dr Surendra Aryal, will provide information about the 'Food Hygiene and Quality Bill, 2077 BS', which was passed by the National Assembly and forwarded to the House of Representatives with a message.",1,0
2024/4/12,"Federal Parliament session set to end on April 14 KATHMANDU, April 12: The current session of the Federal Parliament is set to end on April 14. A meeting of the Council of Ministers held on Friday decided to recommend to President Ram Chandra Paudel to end the current session of parliament from midnight on April 14. The winter session of parliament started on February 5. Meanwhile, the Federal Parliament has passed three bills in this session so far. Similarly, the government has recommended to the president to nominate Anjan Shakya, former Nepali ambassador to Israel, for the vacant position of the National Assembly. The government has also decided to set up a recommendation committee to recommend the appointment of the chairman and members of both commissions under Section 3 of the Commission for Investigation, Verification, and Reconciliation of Disappeared Persons Act, 2071. It has been decided to appoint Om Prakash Mishra, the former Chief Justice of the Supreme Court, as the chairman of the Commission of Investigation on Enforced Disappeared Persons. Similarly, the government has decided to recognize orange as the national fruit.",1,0
2024/4/18,"Dr Anjan Shakya nominated as National Assembly member KATHMANDU, April 18: President Ram Chandra Paudel has nominated Dr Anjan Shakya as a member of the National Assembly, based on the government's recommendation. KATHMANDU, April 18: President Ram Chandra Paudel has nominated Dr Anjan Shakya as a member of the National Assembly, based on the government's recommendation. President Paudel has nominated Shakya as a member of the National Assembly in accordance with Clause (2) of Article 86 of the Constitution of Nepal, according to a statement issued by the President's Office today. The Council of Ministers meeting on March 30th recommended to President Paudel to nominate Dr Shakya as a member of the National Assembly. Article 86 of the Constitution of Nepal, Clause 2 (b) provides for nominating three people, including at least one woman, in the National Assembly on the recommendation of the government.",1,0
