date,content,female,male
2024/3/12,"Narayan Dahal elected chairperson of the National Assembly Onlinekhabar Tuesday, March 12, 2024 0Comments nan Kathmandu, March 12 Narayan Dahal candidate from the ruling party, CPN Maoist Centre was elected as the Chairperson of the National Assembly on Tuesday. In the election for the chairperson of the National Assembly, Dahal secured 39 votes while his opponent Yuvaraj Sharma from the Nepali Congress got 17 votes. Stating that this number is the majority of the current number in the National Assembly, Speaker Urmila Aryal announced that Dahal has been elected as the chairperson of the National Assembly. Dahal was supported by CPN-UML, Janata Samajwadi Party, and the Unified Socialist Party.",1,0
2024/4/10,"Bimala Ghimire elected as Vice Chairperson of National Assembly Onlinekhabar Wednesday, April 10, 2024 0Comments nan Kathmandu, April 10 Bimala Ghimire has been elected as the Vice Chairperson of the National Assembly. Ghimire, a candidate on behalf of the ruling coalition, received 39 votes in the National Assembly elections on Wednesday. Her rival Bishnu Devi Pudasaini of the Nepali Congress got 16 votes. Ghimire was voted by CPN-UML, CPN-Maoist Centre, CPN-United Socialist Party and Janata Samajwadi Party (JSP). MPs of Congress and Loktantrik Samajbadi Party (LSP) voted for Pudasaini. Before being elected as the Vice Chairperson of the National Assembly, Ghimire was elected as a member of the National Assembly from Lumbini Province in 2019. Ghimire, who worked in the National Assembly for four years, has only two years remaining. After 33 years in politics, Ghimire has become Vice President of the National Assembly. Ghimire has studied up to the School Leaving Certificate and has experience working in the National Representative Council, Party Central School Department and All Nepal Women’s Association. After being elected as the vice president of the National Assembly, she has to give up her party affiliation.",1,0
2024/4/18,"Anjan Shakya nominated as Member of National Assembly Onlinekhabar Thursday, April 18, 2024 0Comments nan Kathmandu, April 18 Anjan Shakya has been nominated as a member of the National Assembly. President Ramchandra Paudel nominated Shakya on Thursday based on the recommendation of the Council of Ministers. The Cabinet meeting on April 12 recommended Shakya to the President for nomination. In the 59-member National Assembly, three members are nominated by the President based on the recommendation of the Council of Ministers. UML foreign department member Shakya is also the former Nepali ambassador to Israel.",1,0
